period,year,month,entity_scope,entity_id,metric_id,value_percent,comparability_class,source_artifact,source_url,extracted_at,notes
2019-01,2019,1,line,S25,reliability_zg,98.87,primary_drilldown,VBB Berlin S-Bahn quality tool,https://unternehmen.vbb.de/qualitaet-im-oepnv/qualitaet-berliner-s-bahn/,2026-07-09T20:29:05+00:00,"Line reliability, delivered train-km over scheduled train-km."
2019-01,2019,1,line,S25,overall_ranking,98.09,primary_drilldown,VBB Berlin S-Bahn quality tool,https://unternehmen.vbb.de/qualitaet-im-oepnv/qualitaet-berliner-s-bahn/,2026-07-09T20:29:05+00:00,Line overall score published by VBB for comparison.
2019-01,2019,1,line,S26,punctuality_p3,98.69,primary_drilldown,VBB Berlin S-Bahn quality tool,https://unternehmen.vbb.de/qualitaet-im-oepnv/qualitaet-berliner-s-bahn/,2026-07-09T20:29:05+00:00,"Line punctuality, arrivals no more than 3:59 minutes late."
2019-01,2019,1,line,S26,reliability_zg,98.37,primary_drilldown,VBB Berlin S-Bahn quality tool,https://unternehmen.vbb.de/qualitaet-im-oepnv/qualitaet-berliner-s-bahn/,2026-07-09T20:29:05+00:00,"Line reliability, delivered train-km over scheduled train-km."
2019-01,2019,1,line,S26,overall_ranking,98.53,primary_drilldown,VBB Berlin S-Bahn quality tool,https://unternehmen.vbb.de/qualitaet-im-oepnv/qualitaet-berliner-s-bahn/,2026-07-09T20:29:05+00:00,Line overall score published by VBB for comparison.
2019-01,2019,1,line,S3,punctuality_p3,97.37,primary_drilldown,VBB Berlin S-Bahn quality tool,https://unternehmen.vbb.de/qualitaet-im-oepnv/qualitaet-berliner-s-bahn/,2026-07-09T20:29:05+00:00,"Line punctuality, arrivals no more than 3:59 minutes late."
2019-01,2019,1,line,S3,reliability_zg,97.79,primary_drilldown,VBB Berlin S-Bahn quality tool,https://unternehmen.vbb.de/qualitaet-im-oepnv/qualitaet-berliner-s-bahn/,2026-07-09T20:29:05+00:00,"Line reliability, delivered train-km over scheduled train-km."
2019-01,2019,1,line,S3,overall_ranking,97.58,primary_drilldown,VBB Berlin S-Bahn quality tool,https://unternehmen.vbb.de/qualitaet-im-oepnv/qualitaet-berliner-s-bahn/,2026-07-09T20:29:05+00:00,Line overall score published by VBB for comparison.
2019-01,2019,1,line,S41,punctuality_p3,95.51,primary_drilldown,VBB Berlin S-Bahn quality tool,https://unternehmen.vbb.de/qualitaet-im-oepnv/qualitaet-berliner-s-bahn/,2026-07-09T20:29:05+00:00,"Line punctuality, arrivals no more than 3:59 minutes late."
2019-01,2019,1,line,S41,reliability_zg,94.55,primary_drilldown,VBB Berlin S-Bahn quality tool,https://unternehmen.vbb.de/qualitaet-im-oepnv/qualitaet-berliner-s-bahn/,2026-07-09T20:29:05+00:00,"Line reliability, delivered train-km over scheduled train-km."
2019-01,2019,1,line,S41,overall_ranking,95.03,primary_drilldown,VBB Berlin S-Bahn quality tool,https://unternehmen.vbb.de/qualitaet-im-oepnv/qualitaet-berliner-s-bahn/,2026-07-09T20:29:05+00:00,Line overall score published by VBB for comparison.
2019-01,2019,1,line,S42,punctuality_p3,95.59,primary_drilldown,VBB Berlin S-Bahn quality tool,https://unternehmen.vbb.de/qualitaet-im-oepnv/qualitaet-berliner-s-bahn/,2026-07-09T20:29:05+00:00,"Line punctuality, arrivals no more than 3:59 minutes late."
2019-01,2019,1,line,S42,reliability_zg,94.61,primary_drilldown,VBB Berlin S-Bahn quality tool,https://unternehmen.vbb.de/qualitaet-im-oepnv/qualitaet-berliner-s-bahn/,2026-07-09T20:29:05+00:00,"Line reliability, delivered train-km over scheduled train-km."
2019-01,2019,1,line,S42,overall_ranking,95.10,primary_drilldown,VBB Berlin S-Bahn quality tool,https://unternehmen.vbb.de/qualitaet-im-oepnv/qualitaet-berliner-s-bahn/,2026-07-09T20:29:05+00:00,Line overall score published by VBB for comparison.
2019-01,2019,1,line,S45,punctuality_p3,96.89,primary_drilldown,VBB Berlin S-Bahn quality tool,https://unternehmen.vbb.de/qualitaet-im-oepnv/qualitaet-berliner-s-bahn/,2026-07-09T20:29:05+00:00,"Line punctuality, arrivals no more than 3:59 minutes late."
2019-01,2019,1,line,S45,reliability_zg,93.52,primary_drilldown,VBB Berlin S-Bahn quality tool,https://unternehmen.vbb.de/qualitaet-im-oepnv/qualitaet-berliner-s-bahn/,2026-07-09T20:29:05+00:00,"Line reliability, delivered train-km over scheduled train-km."
2019-01,2019,1,line,S45,overall_ranking,95.21,primary_drilldown,VBB Berlin S-Bahn quality tool,https://unternehmen.vbb.de/qualitaet-im-oepnv/qualitaet-berliner-s-bahn/,2026-07-09T20:29:05+00:00,Line overall score published by VBB for comparison.
2019-01,2019,1,line,S46,punctuality_p3,94.40,primary_drilldown,VBB Berlin S-Bahn quality tool,https://unternehmen.vbb.de/qualitaet-im-oepnv/qualitaet-berliner-s-bahn/,2026-07-09T20:29:05+00:00,"Line punctuality, arrivals no more than 3:59 minutes late."
2019-01,2019,1,line,S46,reliability_zg,98.50,primary_drilldown,VBB Berlin S-Bahn quality tool,https://unternehmen.vbb.de/qualitaet-im-oepnv/qualitaet-berliner-s-bahn/,2026-07-09T20:29:05+00:00,"Line reliability, delivered train-km over scheduled train-km."
2019-01,2019,1,line,S46,overall_ranking,96.45,primary_drilldown,VBB Berlin S-Bahn quality tool,https://unternehmen.vbb.de/qualitaet-im-oepnv/qualitaet-berliner-s-bahn/,2026-07-09T20:29:05+00:00,Line overall score published by VBB for comparison.
2019-01,2019,1,line,S47,punctuality_p3,97.07,primary_drilldown,VBB Berlin S-Bahn quality tool,https://unternehmen.vbb.de/qualitaet-im-oepnv/qualitaet-berliner-s-bahn/,2026-07-09T20:29:05+00:00,"Line punctuality, arrivals no more than 3:59 minutes late."
2019-01,2019,1,line,S47,reliability_zg,97.96,primary_drilldown,VBB Berlin S-Bahn quality tool,https://unternehmen.vbb.de/qualitaet-im-oepnv/qualitaet-berliner-s-bahn/,2026-07-09T20:29:05+00:00,"Line reliability, delivered train-km over scheduled train-km."
2019-01,2019,1,line,S47,overall_ranking,97.52,primary_drilldown,VBB Berlin S-Bahn quality tool,https://unternehmen.vbb.de/qualitaet-im-oepnv/qualitaet-berliner-s-bahn/,2026-07-09T20:29:05+00:00,Line overall score published by VBB for comparison.
2019-01,2019,1,line,S5,punctuality_p3,95.46,primary_drilldown,VBB Berlin S-Bahn quality tool,https://unternehmen.vbb.de/qualitaet-im-oepnv/qualitaet-berliner-s-bahn/,2026-07-09T20:29:05+00:00,"Line punctuality, arrivals no more than 3:59 minutes late."
2019-01,2019,1,line,S5,reliability_zg,94.10,primary_drilldown,VBB Berlin S-Bahn quality tool,https://unternehmen.vbb.de/qualitaet-im-oepnv/qualitaet-berliner-s-bahn/,2026-07-09T20:29:05+00:00,"Line reliability, delivered train-km over scheduled train-km."
2019-01,2019,1,line,S5,overall_ranking,94.78,primary_drilldown,VBB Berlin S-Bahn quality tool,https://unternehmen.vbb.de/qualitaet-im-oepnv/qualitaet-berliner-s-bahn/,2026-07-09T20:29:05+00:00,Line overall score published by VBB for comparison.
2019-01,2019,1,line,S7,punctuality_p3,96.62,primary_drilldown,VBB Berlin S-Bahn quality tool,https://unternehmen.vbb.de/qualitaet-im-oepnv/qualitaet-berliner-s-bahn/,2026-07-09T20:29:05+00:00,"Line punctuality, arrivals no more than 3:59 minutes late."
2019-01,2019,1,line,S7,reliability_zg,97.76,primary_drilldown,VBB Berlin S-Bahn quality tool,https://unternehmen.vbb.de/qualitaet-im-oepnv/qualitaet-berliner-s-bahn/,2026-07-09T20:29:05+00:00,"Line reliability, delivered train-km over scheduled train-km."
2019-01,2019,1,line,S7,overall_ranking,97.19,primary_drilldown,VBB Berlin S-Bahn quality tool,https://unternehmen.vbb.de/qualitaet-im-oepnv/qualitaet-berliner-s-bahn/,2026-07-09T20:29:05+00:00,Line overall score published by VBB for comparison.
2019-01,2019,1,line,S75,punctuality_p3,97.84,primary_drilldown,VBB Berlin S-Bahn quality tool,https://unternehmen.vbb.de/qualitaet-im-oepnv/qualitaet-berliner-s-bahn/,2026-07-09T20:29:05+00:00,"Line punctuality, arrivals no more than 3:59 minutes late."
2019-01,2019,1,line,S75,reliability_zg,97.36,primary_drilldown,VBB Berlin S-Bahn quality tool,https://unternehmen.vbb.de/qualitaet-im-oepnv/qualitaet-berliner-s-bahn/,2026-07-09T20:29:05+00:00,"Line reliability, delivered train-km over scheduled train-km."
2019-01,2019,1,line,S75,overall_ranking,97.60,primary_drilldown,VBB Berlin S-Bahn quality tool,https://unternehmen.vbb.de/qualitaet-im-oepnv/qualitaet-berliner-s-bahn/,2026-07-09T20:29:05+00:00,Line overall score published by VBB for comparison.
2019-01,2019,1,line,S8,punctuality_p3,97.45,primary_drilldown,VBB Berlin S-Bahn quality tool,https://unternehmen.vbb.de/qualitaet-im-oepnv/qualitaet-berliner-s-bahn/,2026-07-09T20:29:05+00:00,"Line punctuality, arrivals no more than 3:59 minutes late."
2019-01,2019,1,line,S8,reliability_zg,97.25,primary_drilldown,VBB Berlin S-Bahn quality tool,https://unternehmen.vbb.de/qualitaet-im-oepnv/qualitaet-berliner-s-bahn/,2026-07-09T20:29:05+00:00,"Line reliability, delivered train-km over scheduled train-km."
2019-01,2019,1,line,S8,overall_ranking,97.35,primary_drilldown,VBB Berlin S-Bahn quality tool,https://unternehmen.vbb.de/qualitaet-im-oepnv/qualitaet-berliner-s-bahn/,2026-07-09T20:29:05+00:00,Line overall score published by VBB for comparison.
2019-01,2019,1,line,S85,punctuality_p3,93.50,primary_drilldown,VBB Berlin S-Bahn quality tool,https://unternehmen.vbb.de/qualitaet-im-oepnv/qualitaet-berliner-s-bahn/,2026-07-09T20:29:05+00:00,"Line punctuality, arrivals no more than 3:59 minutes late."
2019-01,2019,1,line,S85,reliability_zg,94.20,primary_drilldown,VBB Berlin S-Bahn quality tool,https://unternehmen.vbb.de/qualitaet-im-oepnv/qualitaet-berliner-s-bahn/,2026-07-09T20:29:05+00:00,"Line reliability, delivered train-km over scheduled train-km."
2019-01,2019,1,line,S85,overall_ranking,93.85,primary_drilldown,VBB Berlin S-Bahn quality tool,https://unternehmen.vbb.de/qualitaet-im-oepnv/qualitaet-berliner-s-bahn/,2026-07-09T20:29:05+00:00,Line overall score published by VBB for comparison.
2019-01,2019,1,line,S9,punctuality_p3,97.44,primary_drilldown,VBB Berlin S-Bahn quality tool,https://unternehmen.vbb.de/qualitaet-im-oepnv/qualitaet-berliner-s-bahn/,2026-07-09T20:29:05+00:00,"Line punctuality, arrivals no more than 3:59 minutes late."
2019-01,2019,1,line,S9,reliability_zg,98.23,primary_drilldown,VBB Berlin S-Bahn quality tool,https://unternehmen.vbb.de/qualitaet-im-oepnv/qualitaet-berliner-s-bahn/,2026-07-09T20:29:05+00:00,"Line reliability, delivered train-km over scheduled train-km."
2019-01,2019,1,line,S9,overall_ranking,97.84,primary_drilldown,VBB Berlin S-Bahn quality tool,https://unternehmen.vbb.de/qualitaet-im-oepnv/qualitaet-berliner-s-bahn/,2026-07-09T20:29:05+00:00,Line overall score published by VBB for comparison.
2019-02,2019,2,network,Gesamtnetz,punctuality_p3,97.09,primary_headline,VBB Berlin S-Bahn quality tool,https://unternehmen.vbb.de/qualitaet-im-oepnv/qualitaet-berliner-s-bahn/,2026-07-09T20:29:05+00:00,"Network punctuality, arrivals no more than 3:59 minutes late."
2019-02,2019,2,network,Gesamtnetz,reliability_zg,96.67,primary_headline,VBB Berlin S-Bahn quality tool,https://unternehmen.vbb.de/qualitaet-im-oepnv/qualitaet-berliner-s-bahn/,2026-07-09T20:29:05+00:00,"Network reliability, delivered train-km over scheduled train-km."
2019-02,2019,2,network,Gesamtnetz,punctuality_p0,81.22,sensitivity,VBB Berlin S-Bahn quality tool,https://unternehmen.vbb.de/qualitaet-im-oepnv/qualitaet-berliner-s-bahn/,2026-07-09T20:29:05+00:00,"Network punctuality, arrivals no more than 0:59 minutes late."
2019-02,2019,2,line,S1,punctuality_p3,98.00,primary_drilldown,VBB Berlin S-Bahn quality tool,https://unternehmen.vbb.de/qualitaet-im-oepnv/qualitaet-berliner-s-bahn/,2026-07-09T20:29:05+00:00,"Line punctuality, arrivals no more than 3:59 minutes late."
2019-02,2019,2,line,S1,reliability_zg,95.25,primary_drilldown,VBB Berlin S-Bahn quality tool,https://unternehmen.vbb.de/qualitaet-im-oepnv/qualitaet-berliner-s-bahn/,2026-07-09T20:29:05+00:00,"Line reliability, delivered train-km over scheduled train-km."
2019-02,2019,2,line,S1,overall_ranking,96.63,primary_drilldown,VBB Berlin S-Bahn quality tool,https://unternehmen.vbb.de/qualitaet-im-oepnv/qualitaet-berliner-s-bahn/,2026-07-09T20:29:05+00:00,Line overall score published by VBB for comparison.
2019-02,2019,2,line,S2,punctuality_p3,97.63,primary_drilldown,VBB Berlin S-Bahn quality tool,https://unternehmen.vbb.de/qualitaet-im-oepnv/qualitaet-berliner-s-bahn/,2026-07-09T20:29:05+00:00,"Line punctuality, arrivals no more than 3:59 minutes late."
2019-02,2019,2,line,S2,reliability_zg,96.90,primary_drilldown,VBB Berlin S-Bahn quality tool,https://unternehmen.vbb.de/qualitaet-im-oepnv/qualitaet-berliner-s-bahn/,2026-07-09T20:29:05+00:00,"Line reliability, delivered train-km over scheduled train-km."
2019-02,2019,2,line,S2,overall_ranking,97.27,primary_drilldown,VBB Berlin S-Bahn quality tool,https://unternehmen.vbb.de/qualitaet-im-oepnv/qualitaet-berliner-s-bahn/,2026-07-09T20:29:05+00:00,Line overall score published by VBB for comparison.
2019-02,2019,2,line,S25,punctuality_p3,97.21,primary_drilldown,VBB Berlin S-Bahn quality tool,https://unternehmen.vbb.de/qualitaet-im-oepnv/qualitaet-berliner-s-bahn/,2026-07-09T20:29:05+00:00,"Line punctuality, arrivals no more than 3:59 minutes late."
2019-02,2019,2,line,S25,reliability_zg,99.08,primary_drilldown,VBB Berlin S-Bahn quality tool,https://unternehmen.vbb.de/qualitaet-im-oepnv/qualitaet-berliner-s-bahn/,2026-07-09T20:29:05+00:00,"Line reliability, delivered train-km over scheduled train-km."
2019-02,2019,2,line,S25,overall_ranking,98.15,primary_drilldown,VBB Berlin S-Bahn quality tool,https://unternehmen.vbb.de/qualitaet-im-oepnv/qualitaet-berliner-s-bahn/,2026-07-09T20:29:05+00:00,Line overall score published by VBB for comparison.
2019-02,2019,2,line,S26,punctuality_p3,97.55,primary_drilldown,VBB Berlin S-Bahn quality tool,https://unternehmen.vbb.de/qualitaet-im-oepnv/qualitaet-berliner-s-bahn/,2026-07-09T20:29:05+00:00,"Line punctuality, arrivals no more than 3:59 minutes late."
2019-02,2019,2,line,S26,reliability_zg,98.51,primary_drilldown,VBB Berlin S-Bahn quality tool,https://unternehmen.vbb.de/qualitaet-im-oepnv/qualitaet-berliner-s-bahn/,2026-07-09T20:29:05+00:00,"Line reliability, delivered train-km over scheduled train-km."
2019-02,2019,2,line,S26,overall_ranking,98.03,primary_drilldown,VBB Berlin S-Bahn quality tool,https://unternehmen.vbb.de/qualitaet-im-oepnv/qualitaet-berliner-s-bahn/,2026-07-09T20:29:05+00:00,Line overall score published by VBB for comparison.
2019-02,2019,2,line,S3,punctuality_p3,97.44,primary_drilldown,VBB Berlin S-Bahn quality tool,https://unternehmen.vbb.de/qualitaet-im-oepnv/qualitaet-berliner-s-bahn/,2026-07-09T20:29:05+00:00,"Line punctuality, arrivals no more than 3:59 minutes late."
2019-02,2019,2,line,S3,reliability_zg,98.15,primary_drilldown,VBB Berlin S-Bahn quality tool,https://unternehmen.vbb.de/qualitaet-im-oepnv/qualitaet-berliner-s-bahn/,2026-07-09T20:29:05+00:00,"Line reliability, delivered train-km over scheduled train-km."
2019-02,2019,2,line,S3,overall_ranking,97.80,primary_drilldown,VBB Berlin S-Bahn quality tool,https://unternehmen.vbb.de/qualitaet-im-oepnv/qualitaet-berliner-s-bahn/,2026-07-09T20:29:05+00:00,Line overall score published by VBB for comparison.
2019-02,2019,2,line,S41,punctuality_p3,96.27,primary_drilldown,VBB Berlin S-Bahn quality tool,https://unternehmen.vbb.de/qualitaet-im-oepnv/qualitaet-berliner-s-bahn/,2026-07-09T20:29:05+00:00,"Line punctuality, arrivals no more than 3:59 minutes late."
2019-02,2019,2,line,S41,reliability_zg,94.91,primary_drilldown,VBB Berlin S-Bahn quality tool,https://unternehmen.vbb.de/qualitaet-im-oepnv/qualitaet-berliner-s-bahn/,2026-07-09T20:29:05+00:00,"Line reliability, delivered train-km over scheduled train-km."
2019-02,2019,2,line,S41,overall_ranking,95.59,primary_drilldown,VBB Berlin S-Bahn quality tool,https://unternehmen.vbb.de/qualitaet-im-oepnv/qualitaet-berliner-s-bahn/,2026-07-09T20:29:05+00:00,Line overall score published by VBB for comparison.
2019-02,2019,2,line,S42,punctuality_p3,97.88,primary_drilldown,VBB Berlin S-Bahn quality tool,https://unternehmen.vbb.de/qualitaet-im-oepnv/qualitaet-berliner-s-bahn/,2026-07-09T20:29:05+00:00,"Line punctuality, arrivals no more than 3:59 minutes late."
2019-02,2019,2,line,S42,reliability_zg,96.99,primary_drilldown,VBB Berlin S-Bahn quality tool,https://unternehmen.vbb.de/qualitaet-im-oepnv/qualitaet-berliner-s-bahn/,2026-07-09T20:29:05+00:00,"Line reliability, delivered train-km over scheduled train-km."
2019-02,2019,2,line,S42,overall_ranking,97.44,primary_drilldown,VBB Berlin S-Bahn quality tool,https://unternehmen.vbb.de/qualitaet-im-oepnv/qualitaet-berliner-s-bahn/,2026-07-09T20:29:05+00:00,Line overall score published by VBB for comparison.
2019-02,2019,2,line,S45,punctuality_p3,97.54,primary_drilldown,VBB Berlin S-Bahn quality tool,https://unternehmen.vbb.de/qualitaet-im-oepnv/qualitaet-berliner-s-bahn/,2026-07-09T20:29:05+00:00,"Line punctuality, arrivals no more than 3:59 minutes late."
2019-02,2019,2,line,S45,reliability_zg,92.73,primary_drilldown,VBB Berlin S-Bahn quality tool,https://unternehmen.vbb.de/qualitaet-im-oepnv/qualitaet-berliner-s-bahn/,2026-07-09T20:29:05+00:00,"Line reliability, delivered train-km over scheduled train-km."
2019-02,2019,2,line,S45,overall_ranking,95.14,primary_drilldown,VBB Berlin S-Bahn quality tool,https://unternehmen.vbb.de/qualitaet-im-oepnv/qualitaet-berliner-s-bahn/,2026-07-09T20:29:05+00:00,Line overall score published by VBB for comparison.
2019-02,2019,2,line,S46,punctuality_p3,95.84,primary_drilldown,VBB Berlin S-Bahn quality tool,https://unternehmen.vbb.de/qualitaet-im-oepnv/qualitaet-berliner-s-bahn/,2026-07-09T20:29:05+00:00,"Line punctuality, arrivals no more than 3:59 minutes late."
2019-02,2019,2,line,S46,reliability_zg,97.34,primary_drilldown,VBB Berlin S-Bahn quality tool,https://unternehmen.vbb.de/qualitaet-im-oepnv/qualitaet-berliner-s-bahn/,2026-07-09T20:29:05+00:00,"Line reliability, delivered train-km over scheduled train-km."
2019-02,2019,2,line,S46,overall_ranking,96.59,primary_drilldown,VBB Berlin S-Bahn quality tool,https://unternehmen.vbb.de/qualitaet-im-oepnv/qualitaet-berliner-s-bahn/,2026-07-09T20:29:05+00:00,Line overall score published by VBB for comparison.
2019-02,2019,2,line,S47,punctuality_p3,97.87,primary_drilldown,VBB Berlin S-Bahn quality tool,https://unternehmen.vbb.de/qualitaet-im-oepnv/qualitaet-berliner-s-bahn/,2026-07-09T20:29:05+00:00,"Line punctuality, arrivals no more than 3:59 minutes late."
2019-02,2019,2,line,S47,reliability_zg,97.87,primary_drilldown,VBB Berlin S-Bahn quality tool,https://unternehmen.vbb.de/qualitaet-im-oepnv/qualitaet-berliner-s-bahn/,2026-07-09T20:29:05+00:00,"Line reliability, delivered train-km over scheduled train-km."
2019-02,2019,2,line,S47,overall_ranking,97.87,primary_drilldown,VBB Berlin S-Bahn quality tool,https://unternehmen.vbb.de/qualitaet-im-oepnv/qualitaet-berliner-s-bahn/,2026-07-09T20:29:05+00:00,Line overall score published by VBB for comparison.
2019-02,2019,2,line,S5,punctuality_p3,96.20,primary_drilldown,VBB Berlin S-Bahn quality tool,https://unternehmen.vbb.de/qualitaet-im-oepnv/qualitaet-berliner-s-bahn/,2026-07-09T20:29:05+00:00,"Line punctuality, arrivals no more than 3:59 minutes late."
2019-02,2019,2,line,S5,reliability_zg,93.77,primary_drilldown,VBB Berlin S-Bahn quality tool,https://unternehmen.vbb.de/qualitaet-im-oepnv/qualitaet-berliner-s-bahn/,2026-07-09T20:29:05+00:00,"Line reliability, delivered train-km over scheduled train-km."
2019-02,2019,2,line,S5,overall_ranking,94.99,primary_drilldown,VBB Berlin S-Bahn quality tool,https://unternehmen.vbb.de/qualitaet-im-oepnv/qualitaet-berliner-s-bahn/,2026-07-09T20:29:05+00:00,Line overall score published by VBB for comparison.
2019-02,2019,2,line,S7,punctuality_p3,96.74,primary_drilldown,VBB Berlin S-Bahn quality tool,https://unternehmen.vbb.de/qualitaet-im-oepnv/qualitaet-berliner-s-bahn/,2026-07-09T20:29:05+00:00,"Line punctuality, arrivals no more than 3:59 minutes late."
2019-02,2019,2,line,S7,reliability_zg,98.10,primary_drilldown,VBB Berlin S-Bahn quality tool,https://unternehmen.vbb.de/qualitaet-im-oepnv/qualitaet-berliner-s-bahn/,2026-07-09T20:29:05+00:00,"Line reliability, delivered train-km over scheduled train-km."
2019-02,2019,2,line,S7,overall_ranking,97.42,primary_drilldown,VBB Berlin S-Bahn quality tool,https://unternehmen.vbb.de/qualitaet-im-oepnv/qualitaet-berliner-s-bahn/,2026-07-09T20:29:05+00:00,Line overall score published by VBB for comparison.
2019-02,2019,2,line,S75,punctuality_p3,97.96,primary_drilldown,VBB Berlin S-Bahn quality tool,https://unternehmen.vbb.de/qualitaet-im-oepnv/qualitaet-berliner-s-bahn/,2026-07-09T20:29:05+00:00,"Line punctuality, arrivals no more than 3:59 minutes late."
2019-02,2019,2,line,S75,reliability_zg,97.68,primary_drilldown,VBB Berlin S-Bahn quality tool,https://unternehmen.vbb.de/qualitaet-im-oepnv/qualitaet-berliner-s-bahn/,2026-07-09T20:29:05+00:00,"Line reliability, delivered train-km over scheduled train-km."
2019-02,2019,2,line,S75,overall_ranking,97.82,primary_drilldown,VBB Berlin S-Bahn quality tool,https://unternehmen.vbb.de/qualitaet-im-oepnv/qualitaet-berliner-s-bahn/,2026-07-09T20:29:05+00:00,Line overall score published by VBB for comparison.
2019-02,2019,2,line,S8,punctuality_p3,96.41,primary_drilldown,VBB Berlin S-Bahn quality tool,https://unternehmen.vbb.de/qualitaet-im-oepnv/qualitaet-berliner-s-bahn/,2026-07-09T20:29:05+00:00,"Line punctuality, arrivals no more than 3:59 minutes late."
2019-02,2019,2,line,S8,reliability_zg,96.83,primary_drilldown,VBB Berlin S-Bahn quality tool,https://unternehmen.vbb.de/qualitaet-im-oepnv/qualitaet-berliner-s-bahn/,2026-07-09T20:29:05+00:00,"Line reliability, delivered train-km over scheduled train-km."
2019-02,2019,2,line,S8,overall_ranking,96.62,primary_drilldown,VBB Berlin S-Bahn quality tool,https://unternehmen.vbb.de/qualitaet-im-oepnv/qualitaet-berliner-s-bahn/,2026-07-09T20:29:05+00:00,Line overall score published by VBB for comparison.
2019-02,2019,2,line,S85,punctuality_p3,94.32,primary_drilldown,VBB Berlin S-Bahn quality tool,https://unternehmen.vbb.de/qualitaet-im-oepnv/qualitaet-berliner-s-bahn/,2026-07-09T20:29:05+00:00,"Line punctuality, arrivals no more than 3:59 minutes late."
2019-02,2019,2,line,S85,reliability_zg,94.57,primary_drilldown,VBB Berlin S-Bahn quality tool,https://unternehmen.vbb.de/qualitaet-im-oepnv/qualitaet-berliner-s-bahn/,2026-07-09T20:29:05+00:00,"Line reliability, delivered train-km over scheduled train-km."
2019-02,2019,2,line,S85,overall_ranking,94.45,primary_drilldown,VBB Berlin S-Bahn quality tool,https://unternehmen.vbb.de/qualitaet-im-oepnv/qualitaet-berliner-s-bahn/,2026-07-09T20:29:05+00:00,Line overall score published by VBB for comparison.
2019-02,2019,2,line,S9,punctuality_p3,97.29,primary_drilldown,VBB Berlin S-Bahn quality tool,https://unternehmen.vbb.de/qualitaet-im-oepnv/qualitaet-berliner-s-bahn/,2026-07-09T20:29:05+00:00,"Line punctuality, arrivals no more than 3:59 minutes late."
2019-02,2019,2,line,S9,reliability_zg,98.56,primary_drilldown,VBB Berlin S-Bahn quality tool,https://unternehmen.vbb.de/qualitaet-im-oepnv/qualitaet-berliner-s-bahn/,2026-07-09T20:29:05+00:00,"Line reliability, delivered train-km over scheduled train-km."
2019-02,2019,2,line,S9,overall_ranking,97.93,primary_drilldown,VBB Berlin S-Bahn quality tool,https://unternehmen.vbb.de/qualitaet-im-oepnv/qualitaet-berliner-s-bahn/,2026-07-09T20:29:05+00:00,Line overall score published by VBB for comparison.
